 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
10001,21,21,21,21,21,21,7,21,7,21,21,21,3,7,21,21,21,21,7,7,21,3,21,21,21,7,3,21,7,21,21
10010,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
10011,14,14,7,14,7,7,14,7,14,2,7,14,7,7,14,14,7,7,14,7,2,14,7,14,7,7,14,7,14,14,1
10100,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
10101,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1
10110,12,12,6,3,12,4,6,12,3,2,12,4,3,6,12,12,6,3,4,12,2,3,12,6,4,12,3,6,12,12,1
10111,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
11000,21,21,21,21,7,21,21,21,21,21,7,21,3,7,21,21,21,7,21,21,21,3,7,21,7,21,3,7,21,21,21
11001,8,4,8,4,8,4,8,4,8,2,8,4,8,4,8,8,4,8,4,8,2,8,4,8,4,8,4,8,4,8,1
11010,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1
11011,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
11100,14,7,14,14,7,14,7,14,7,2,7,7,14,7,14,14,7,14,7,7,2,7,14,7,14,7,14,14,7,14,1
11101,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
11110,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
11111,6,6,6,3,6,6,6,6,3,6,6,6,3,6,6,6,6,3,6,6,6,3,6,6,6,6,3,6,6,6,1
