 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
100000,1,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,3,6,6,2,6,6,6,6,6,3,6,6,6,6,6,6,6,6,3,6,6,6,6,6,2,6,6,3,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,1
100001,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
100010,1,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,7,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,7,14,14,14,7,14,14,14,14,14,14,7,14,14,14,14,14,14
100011,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1
100100,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
100101,1,28,28,14,28,7,14,28,14,28,28,7,4,14,7,28,14,28,28,7,28,2,7,28,7,4,28,14,28,7,14,28,28,14,7,28,14,28,4,7,28,7,2,28,7,28,28,14,28,7,14,4,7,28,28,14,28,14,7,28,14,28,28,1
100110,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1
100111,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15
101000,1,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,7,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,7,14,14,14,14,14
101001,1,21,21,21,21,21,7,21,21,3,21,7,21,7,21,21,21,7,3,21,21,21,21,7,21,21,7,3,7,21,21,21,21,21,21,7,3,7,21,21,7,21,21,21,21,3,7,21,21,21,7,21,7,21,3,21,21,7,21,21,21,21,21,1
101010,1,8,8,8,4,8,8,8,4,8,8,8,4,8,8,8,8,4,8,8,8,2,8,8,8,4,8,8,8,4,8,8,8,8,4,8,8,8,4,8,8,8,2,8,8,8,4,8,8,8,8,4,8,8,8,4,8,8,8,4,8,8,8,1
101011,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
101100,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1
101101,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
101110,1,15,15,15,15,15,5,15,15,15,5,15,5,15,15,15,15,15,5,15,5,15,15,15,5,15,15,3,15,15,5,15,15,15,15,5,15,5,15,15,15,5,15,15,15,3,15,5,15,5,15,15,15,15,3,5,15,15,15,5,15,5,15,15
101111,1,30,30,15,15,30,30,15,30,15,15,30,30,15,15,30,15,30,30,15,15,2,30,15,30,15,15,30,30,15,15,30,30,15,15,30,30,15,15,30,15,30,2,15,15,30,30,15,30,15,15,30,30,15,15,30,15,30,30,15,15,30,30,1
110000,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
110001,1,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,2,5,10,5,10,5,10,5,10,5,10,10,5,10,5,10,5,10,5,10,5,2,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,1
110010,1,21,21,21,21,7,21,21,21,3,21,7,21,21,7,21,21,21,3,7,21,21,7,21,7,21,21,3,21,7,21,21,21,21,7,21,3,21,21,7,21,7,21,21,7,3,21,21,21,7,21,21,7,21,3,21,21,21,7,21,21,21,21,1
110011,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
110100,1,28,14,28,14,28,7,28,28,14,28,7,4,7,28,14,28,7,28,14,28,2,28,7,14,4,7,28,7,28,14,28,28,14,28,7,28,7,4,14,7,28,2,28,14,28,7,28,14,28,7,4,7,28,14,28,28,7,28,14,28,14,28,1
110101,1,12,12,12,12,6,12,12,12,12,6,12,12,12,12,6,12,6,12,12,6,12,12,12,12,12,12,3,12,12,6,12,12,12,6,12,12,12,12,6,6,12,12,12,12,3,12,12,12,12,12,6,12,12,3,12,12,6,12,12,6,12,12,12
110110,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
110111,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1
111000,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1
111001,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
111010,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
111011,1,12,12,12,4,12,12,6,4,3,12,12,4,12,6,12,12,4,3,12,12,2,12,12,12,4,12,3,6,4,12,12,12,12,4,6,3,12,4,12,12,12,2,12,12,3,4,12,12,6,12,4,12,12,3,4,6,12,12,4,12,12,12,1
111100,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15
111101,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1
111110,1,30,15,30,30,15,30,15,15,30,15,30,30,15,30,15,30,15,30,15,15,2,15,30,30,15,30,15,15,30,15,30,30,15,30,15,15,30,15,30,30,15,2,15,15,30,15,30,15,30,15,30,30,15,30,15,15,30,15,30,30,15,30,1
111111,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
